CM Energy (TeV),,"13,6",,,,,,,,,,13,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
BKG,,"5,5",6,"6,5","6,75",7,"7,25","7,5","7,75",8,"8,25","5,5",6,"6,5",7,8,"5,5",6,"6,5",7,"7,5",8,,,,,,,,,,,,,,,,,,,,,
Event No.,Process,,,,,,,,,,,,,,,ATLAS Sigma (fb),,,,,,,,,,,,,,,,,,,,,,,,,,,
b.9,qq_qq,"3,347E+10","1,945E+10","1,085E+10","8,010E+09","5,813E+09","4,196E+09","2,985E+09","2,094E+09","1,450E+09","9,809E+08","2,539E+10","1,412E+10","7,536E+09","3,805E+09","8,128E+08","3,933E+10","2,356E+10","1,356E+10","7,526E+09","4,020E+09","2,036E+09",,"4,02E-03","2,04E-03","8,01E-03","9,81E-04","2,09E-03","4,20E-03","2,99E-03","7,53E-03","2,54E-02","3,35E-02","3,81E-03","5,81E-03","8,13E-04","1,45E+00","7,54E+00","1,09E+01","1,95E-02","3,93E-02","2,36E-02","1,36E-02"
b.10,qqbar_qqbarNew,"3,212E-02","9,960E-03","3,005E-03","1,622E-03","8,690E-04","4,554E-04","2,369E-04","1,205E-04","6,053E-05","2,974E-05","1,988E-02","5,773E-03","1,604E-03","4,231E-04","2,347E-05","4,297E-02","1,391E-02","4,383E-03","1,332E-03","3,873E-04","1,060E-04",,"3,87E-16","1,06E-16","1,62E-15","2,97E-17","1,21E-16","4,55E-16","2,37E-16","1,33E-15","1,99E-14","3,21E-14","4,23E-16","8,69E-16","2,35E-17","6,05E-14","1,60E-12","3,01E-12","9,96E-15","4,30E-14","1,39E-14","4,38E-15"
b.11,qq_hbb_hadronic,"3,528E-08","1,135E-08","3,509E-09","1,948E-09","1,051E-09","5,594E-10","2,932E-10","1,525E-10","7,679E-11","3,828E-11","2,196E-08","6,666E-09","1,898E-09","5,176E-10","3,035E-11","4,713E-08","1,572E-08","5,101E-09","1,608E-09","4,830E-10","1,344E-10",,"4,83E-22","1,34E-22","1,95E-21","3,83E-23","1,53E-22","5,59E-22","2,93E-22","1,61E-21","2,20E-20","3,53E-20","5,18E-22","1,05E-21","3,04E-23","7,68E-20","1,90E-18","3,51E-18","1,14E-20","4,71E-20","1,57E-20","5,10E-21"
b.12,gg_hbb_hadronic,"3,975E-06","1,179E-06","3,399E-07","1,812E-07","9,468E-08","4,931E-08","2,519E-08","1,274E-08","6,318E-09","3,063E-09","2,325E-06","6,418E-07","1,717E-07","4,369E-08","2,338E-09","5,533E-06","1,700E-06","5,165E-07","1,513E-07","4,250E-08","1,138E-08",,"4,25E-20","1,14E-20","1,81E-19","3,06E-21","1,27E-20","4,93E-20","2,52E-20","1,51E-19","2,33E-18","3,98E-18","4,37E-20","9,47E-20","2,34E-21","6,32E-18","1,72E-16","3,40E-16","1,18E-18","5,53E-18","1,70E-18","5,17E-19"
b.13,gg_Hg,"1,030E-01","3,828E-02","1,359E-02","7,900E-03","4,512E-03","2,544E-03","1,405E-03","7,605E-04","4,014E-04","2,055E-04","6,281E-02","2,172E-02","7,084E-03","2,146E-03","1,487E-04","1,398E-01","5,394E-02","2,005E-02","7,079E-03","2,348E-03","7,192E-04",,"2,35E-15","7,19E-16","7,90E-15","2,06E-16","7,61E-16","2,54E-15","1,41E-15","7,08E-15","6,28E-14","1,03E-13","2,15E-15","4,51E-15","1,49E-16","4,01E-13","7,08E-12","1,36E-11","3,83E-14","1,40E-13","5,39E-14","2,01E-14"
b.14,qg_Hq,"5,871E-01","2,658E-01","1,157E-01","7,526E-02","4,824E-02","3,048E-02","1,895E-02","1,157E-02","6,973E-03","4,081E-03","3,942E-01","1,691E-01","6,887E-02","2,652E-02","3,148E-03","7,502E-01","3,498E-01","1,590E-01","6,884E-02","2,849E-02","1,106E-02",,"2,85E-14","1,11E-14","7,53E-14","4,08E-15","1,16E-14","3,05E-14","1,90E-14","6,88E-14","3,94E-13","5,87E-13","2,65E-14","4,82E-14","3,15E-15","6,97E-12","6,89E-11","1,16E-10","2,66E-13","7,50E-13","3,50E-13","1,59E-13"
b.15,qqbar_Hg,"0,000E+00",-,-,"0,000E+00","0,000E+00","0,000E+00","0,000E+00","0,000E+00",-,"0,000E+00","0,000E+00",-,-,"0,000E+00",-,"0,000E+00","0,000E+00","0,000E+00","0,000E+00","0,000E+00","0,000E+00",,,,,,,,,,,,,,,,,,,,,
b.16,ff_H,"0,000E+00",-,-,"0,000E+00","0,000E+00","0,000E+00","0,000E+00","0,000E+00",-,"0,000E+00","0,000E+00",-,-,"0,000E+00",-,"0,000E+00","0,000E+00","0,000E+00","0,000E+00","0,000E+00","0,000E+00",,,,,,,,,,,,,,,,,,,,,
b.17,gg_H,"0,000E+00",-,-,"0,000E+00","0,000E+00","0,000E+00","0,000E+00","0,000E+00",-,"0,000E+00","0,000E+00",-,-,"0,000E+00",-,"0,000E+00","0,000E+00","0,000E+00","0,000E+00","0,000E+00","0,000E+00",,,,,,,,,,,,,,,,,,,,,
b.18,ff_HZ,"7,836E-06","2,420E-06","7,241E-07","3,910E-07","2,079E-07","1,094E-07","5,641E-08","2,871E-08","1,447E-08","7,076E-09","4,780E-06","1,378E-06","3,811E-07","9,991E-08","5,541E-09","1,060E-05","3,401E-06","1,069E-06","3,237E-07","9,352E-08","2,541E-08",,"9,35E-20","2,54E-20","3,91E-19","7,08E-21","2,87E-20","1,09E-19","5,64E-20","3,24E-19","4,78E-18","7,84E-18","9,99E-20","2,08E-19","5,54E-21","1,45E-17","3,81E-16","7,24E-16","2,42E-18","1,06E-17","3,40E-18","1,07E-18"
